CDSEXE,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,AGEAD
2,0,0,A,0,,25,56
3,1707,2,M,2,,10,27
3,0,0,A,0,,25,45
3,3300,2,D,2,,10,42
2,2353,2,M,2,,10,39
2,0,0,A,0,,21,39
4,0,0,C,2,,10,48
2,0,0,C,0,,21,11
2,1886,2,M,2,,10,39
3,0,0,D,2,,10,42
3,3500,2,D,2,,10,38
3,0,0,D,2,,10,37
4,0,0,C,0,,23,45
2,0,0,S,0,,10,34
3,2060,2,M,2,,10,32
2,0,0,M,2,,10,25
3,0,0,A,0,,25,54
2,0,0,C,2,,10,33
3,0,2,U,2,,21,37
2,2104,2,G,0,,21,33
3,2405,1,A,0,,21,36
3,1737,3,A,0,,21,35
2,0,0,C,2,,10,22
3,0,0,M,2,,10,28
2,0,0,C,2,,10,22
2,0,0,A,0,,25,56
2,0,0,A,0,DC,21,51
3,0,0,M,2,,10,30
2,2092,3,M,2,,10,42
2,0,0,A,0,,21,52
2,0,0,M,2,,10,32
2,0,1,D,2,,10,56
3,0,0,M,2,,10,24
2,2528,0,M,2,,10,55
3,0,0,A,0,,21,61
3,0,0,A,0,,23,31
2,0,0,A,0,,21,34
3,0,0,A,0,,21,41
3,0,0,M,2,,10,35
3,0,0,M,2,,10,49
3,3200,4,E,2,,10,36
3,0,0,M,2,,10,30
3,1417,3,A,0,,21,44
2,0,0,A,0,DA,21,39
4,1298,0,C,2,,10,24
2,1448,0,C,2,,10,28
2,0,1,C,2,,10,43
2,1463,0,U,2,,10,27
2,1820,1,M,2,,10,30
3,0,0,A,0,,21,50
4,0,0,C,2,,10,24
2,0,0,C,2,,10,22
3,0,4,M,2,,10,51
3,0,0,M,2,,10,41
3,0,3,M,2,,10,36
2,0,0,A,0,,21,52
2,0,0,A,0,,25,53
3,1890,0,M,2,,10,47
2,2668,2,M,2,,10,29
4,1593,0,C,2,,10,26
4,3011,2,U,2,,10,34
3,0,0,V,0,,10,73
2,0,0,C,2,,10,32
2,0,0,A,0,,25,57
3,0,0,A,0,,21,68
2,0,0,S,0,,10,38
2,1433,2,M,2,,10,32
4,0,0,C,0,,25,48
3,1300,0,M,2,,10,64
2,2002,3,M,2,,10,47
3,0,0,V,2,,10,71
2,0,0,A,0,,21,30
4,1601,0,U,0,,10,25
2,1789,2,C,2,,10,25
3,0,0,A,0,,25,32
4,0,0,C,0,,21,35
3,0,1,M,2,,10,27
2,0,0,C,2,,21,1
4,0,1,C,2,,10,24
3,0,2,M,0,DV,21,38
4,0,0,C,0,,10,30
2,0,0,A,0,DC,10,38
4,0,0,C,2,,10,22
2,0,0,M,2,,10,53
4,0,0,C,2,,10,43
2,0,0,M,2,,10,59
3,0,0,A,0,,23,51
2,0,0,C,2,,21,14
4,0,1,C,2,,10,47
2,1977,3,M,2,,10,44
2,1691,0,M,2,,10,27
2,0,0,A,0,,25,40
3,3804,1,D,2,,10,39
3,1569,2,F,2,,10,46
3,533,3,M,0,,21,43
2,0,0,A,0,,23,59
2,0,0,A,0,,25,45
3,0,0,A,0,,21,58
3,1533,2,V,2,,10,39
4,0,0,C,2,,10,40
4,0,0,C,2,,10,33
3,2000,0,M,2,,10,49
2,0,0,C,2,,10,48
3,0,0,A,0,,21,36
4,1219,0,C,2,,10,41
3,0,0,A,0,,21,43
3,3400,3,V,2,,10,39
3,2471,0,M,0,,10,60
2,0,0,C,2,,10,43
2,0,0,V,0,,10,66
2,0,0,M,0,DC,21,57
2,0,4,M,2,,10,44
2,0,0,C,2,,10,26
2,1850,2,U,2,,10,28
2,0,0,A,0,,21,39
2,0,1,U,2,,10,50
2,2762,3,M,2,,10,47
4,3374,3,S,0,,25,46
3,990,0,M,0,,21,44
3,0,0,A,0,,21,57
4,0,1,U,2,,10,45
3,1657,2,U,2,,10,29
2,0,0,A,0,,21,44
2,1902,2,C,0,,10,32
2,0,0,A,0,,10,39
3,1870,2,E,2,,10,28
4,1478,1,P,2,,10,23
2,0,0,C,2,,10,27
3,1582,1,M,0,,10,29
2,0,0,D,2,,10,54
3,0,1,M,2,,10,44
2,0,0,A,0,,25,54
4,0,0,C,2,DA,21,17
3,0,1,M,2,,10,52
2,0,0,A,0,DA,21,79
2,0,0,U,2,,10,30
2,1877,0,M,2,,10,27
3,2326,2,B,2,,10,32
4,1589,0,C,2,,10,25
3,0,0,A,0,,25,56
3,0,0,M,0,DA,21,52
3,0,0,A,0,,21,33
2,0,0,A,0,,23,38
2,0,0,A,0,,25,56
2,0,0,C,2,,21,0
2,0,0,M,2,,10,41
3,4036,0,M,2,,10,60
2,1500,1,C,2,,10,24
4,0,0,C,2,,10,24
3,1344,0,A,0,,21,28
2,0,0,U,2,,10,34
3,0,0,A,0,,25,65
2,2130,0,M,0,,25,52
4,0,1,U,2,,10,24
3,0,0,M,2,,10,33
2,0,0,A,0,,10,46
2,1700,0,C,2,,10,25
3,0,0,A,0,,25,42
3,0,0,A,0,,25,54
4,0,0,C,2,,10,30
2,0,0,A,0,DV,21,48
2,1850,3,U,2,,10,28
2,1800,0,C,0,,10,35
2,1554,1,U,2,,10,24
4,1583,0,C,2,,10,30
2,2139,0,F,2,,10,38
2,2400,0,C,2,,10,35
2,0,0,A,0,,21,55
3,0,0,A,0,,21,48
4,0,0,C,0,,10,30
3,0,0,A,0,,21,43
3,0,0,M,2,,10,23
4,0,0,C,2,,10,55
2,0,2,U,2,,10,37
2,5047,3,M,0,,21,44
3,0,2,M,2,,10,43
4,0,0,C,0,,25,44
2,0,2,M,2,,10,47
3,1382,3,M,2,,10,33
4,0,0,U,2,,10,28
4,0,0,C,2,,10,22
2,3273,2,M,0,,10,55
3,1347,0,U,2,,10,25
2,0,0,A,0,,21,52
2,0,0,C,2,,10,55
2,1187,0,M,2,,10,50
4,0,0,C,0,,25,58
2,3320,0,C,2,,10,38
3,0,0,M,2,,10,35
3,0,0,C,2,,10,28
2,0,0,A,0,,21,48
2,1360,2,M,2,,10,44
2,1572,0,U,2,,10,23
3,0,0,A,2,DA,10,44
3,0,4,U,0,,10,32
4,0,3,U,0,,10,34
2,0,0,M,2,,10,36
3,1563,2,M,2,,10,32
3,1300,1,M,2,,10,46
2,0,0,M,2,,10,66
4,0,0,C,2,,21,18
3,0,0,V,2,,10,63
3,0,2,M,2,,10,33
2,0,2,M,2,,10,40
2,3918,1,M,2,,10,35
2,0,0,A,0,,21,50
2,0,0,M,2,,10,44
2,1601,0,C,2,,10,29
4,0,0,C,2,,10,31
3,0,3,M,2,,10,41
3,1400,0,U,2,,10,25
2,0,0,M,2,,10,49
2,0,0,M,0,,10,21
2,2200,2,M,2,,21,36
4,0,0,C,0,,25,52
3,1650,1,M,2,,10,26
2,0,0,A,0,,21,62
4,0,0,C,2,,10,31
3,0,0,A,0,,21,47
4,3452,2,U,2,,10,49
2,3288,0,A,0,,21,29
3,0,0,C,2,,10,29
2,0,0,C,2,,10,25
2,3500,2,M,2,,10,30
4,0,0,C,2,,21,15
3,3864,0,D,2,,10,51
2,1550,0,U,2,,10,23
3,0,2,M,2,,10,47
2,0,0,A,0,,25,56
4,0,0,C,2,,10,27
3,0,0,A,0,,21,52
2,0,0,A,0,,21,48
3,0,0,A,2,,10,32
2,1537,1,P,2,,10,25
2,4335,0,A,0,,21,56
3,1777,2,M,2,,10,41
2,2000,0,C,2,,10,37
2,0,0,A,0,,25,49
3,0,0,V,2,,10,59
3,0,0,A,0,,21,32
3,2066,2,B,2,,10,44
2,0,0,V,2,,10,53
2,0,0,A,0,,21,55
2,900,2,B,2,,10,25
3,1845,1,M,2,,10,28
3,1570,1,M,2,,10,27
3,0,0,A,0,,21,39
2,1231,1,A,0,,21,33
4,0,0,C,2,,10,32
2,0,0,M,2,,10,40
3,0,0,A,0,,25,56
2,0,0,A,0,DC,21,26
3,0,3,M,2,,10,42
2,0,0,U,2,,10,28
2,4200,1,D,2,,10,50
2,1121,0,M,0,,21,57
2,1769,1,M,2,,10,27
2,0,0,A,0,,10,33
4,1700,2,P,2,,10,21
4,0,0,C,2,,10,31
4,0,0,C,2,,10,27
4,0,0,C,2,,10,27
3,0,0,M,2,,10,26
4,0,0,C,0,DV,21,24
4,0,0,C,0,DV,21,23
3,2098,2,M,2,,10,33
2,0,0,M,2,,10,24
2,0,0,A,2,,10,40
2,1265,0,C,2,,10,23
4,1368,0,C,2,,10,24
2,0,0,C,2,,10,27
4,1919,0,C,2,,10,26
2,0,0,A,0,,21,53
3,0,0,A,0,,23,32
2,0,0,M,2,,10,27
2,0,2,M,2,,10,28
2,0,0,A,0,,21,33
3,0,0,A,0,,25,30
2,0,0,A,0,,21,48
3,1350,1,M,2,,10,42
2,0,1,M,2,,10,50
3,0,0,M,2,,10,37
2,0,2,M,2,,21,34
2,0,0,A,0,,25,66
4,0,0,C,0,,10,26
2,0,0,A,0,,25,47
3,0,0,M,2,,10,27
3,711,0,C,2,,10,27
2,2400,1,G,2,,10,36
2,0,0,A,0,,10,34
4,0,0,C,2,,10,19
3,0,0,M,2,,10,26
3,0,0,A,0,,23,41
2,0,0,A,0,,25,44
2,1400,0,D,2,,10,40
3,0,0,M,2,,10,60
4,1808,0,C,2,,10,33
2,1399,2,M,2,,10,48
4,0,0,C,2,,10,28
2,0,1,C,2,,10,42
2,1408,0,C,2,,10,25
3,1600,3,M,2,,21,41
2,0,0,M,2,,10,32
2,1764,0,C,2,,10,30
4,0,0,C,2,,10,24
2,0,1,M,2,,10,42
3,1073,0,G,2,,10,44
2,0,0,A,0,,23,41
3,0,0,A,0,,25,58
4,0,0,C,2,,21,7
2,0,0,M,2,,10,32
3,0,0,A,0,,21,43
3,0,0,U,2,,10,22
4,1350,0,C,2,,10,25
2,0,0,A,0,,23,39
2,0,0,A,0,,25,63
2,1945,0,P,2,,10,25
3,0,0,M,0,,10,59
2,0,0,U,0,,10,26
2,0,0,C,2,,21,17
2,0,0,C,2,,21,4
4,0,0,C,2,,21,18
4,1623,0,C,0,,21,30
2,0,0,A,0,,23,54
2,1149,2,M,2,,10,29
4,1750,0,G,0,,10,24
4,0,0,C,2,,10,34
3,0,0,M,0,,10,55
3,0,0,M,2,,10,44
2,0,0,C,2,,21,6
2,0,0,C,2,,21,10
3,0,0,C,2,,10,28
2,0,2,U,2,,10,36
4,3767,0,C,2,,10,38
2,0,0,U,0,,10,34
2,0,2,C,2,,10,28
2,0,0,A,0,,21,50
4,1450,0,U,2,,10,24
2,3153,0,D,2,,10,47
2,1474,0,C,2,,10,26
2,0,0,C,2,,21,0
2,1600,1,M,2,,10,39
3,1613,1,M,2,,10,25
4,1110,1,U,2,,10,25
3,0,0,D,2,,10,50
2,1500,1,P,0,,10,26
2,0,0,A,2,DA,21,51
4,2408,0,C,2,,10,29
4,1529,0,U,2,,10,22
2,2255,0,M,2,,10,53
2,0,2,M,2,,10,43
4,1500,0,U,2,,10,28
2,0,0,M,2,,10,40
2,0,0,A,0,,21,62
3,2391,2,M,2,,10,49
2,2796,1,M,2,,10,30
2,0,1,M,2,,10,35
4,0,1,C,2,,10,29
4,0,0,C,2,,10,24
2,1269,0,M,0,,21,56
3,0,3,M,2,,10,34
2,1650,2,M,2,,10,31
2,2567,2,M,2,,10,31
2,0,0,U,2,,10,34
4,0,0,C,0,,10,21
3,1480,1,U,2,,10,22
2,1160,0,M,0,,21,27
4,0,0,C,2,,10,30
2,0,0,A,2,DC,10,58
3,0,0,A,0,,21,46
2,0,0,A,0,,23,37
3,0,0,A,0,,25,52
4,1388,0,U,2,,10,23
3,0,0,M,0,DA,21,31
3,4066,2,M,2,,10,31
3,1790,1,M,2,,10,24
2,0,0,A,0,,21,53
3,0,0,A,0,,21,55
3,0,0,M,2,,10,34
3,1600,2,G,2,,10,26
3,0,0,A,0,,21,56
3,0,0,A,0,,25,48
2,0,0,A,0,,25,37
2,0,0,A,0,,24,25
2,1650,0,C,2,,10,24
2,1265,1,M,2,,10,27
2,0,0,C,0,,10,25
3,0,0,A,0,,10,55
4,0,0,C,0,,25,66
3,0,0,S,2,,10,36
2,0,0,C,2,,21,9
2,2615,0,U,2,,10,31
4,1059,0,C,2,,10,31
3,0,0,A,0,,21,37
3,0,0,A,0,,23,29
3,0,0,A,0,,25,42
2,0,0,C,2,,21,8
3,0,0,C,2,,10,26
3,1800,1,G,2,,10,48
2,0,0,A,2,,10,38
2,0,2,M,2,,10,51
2,201,3,M,0,,21,60
3,0,1,M,2,,10,47
4,0,0,C,2,,10,25
4,0,0,C,2,,21,12
2,4262,2,M,0,,10,40
4,0,0,C,0,,10,24
4,0,0,C,0,,10,52
2,0,0,M,2,,10,37
4,0,0,C,2,,10,29
2,0,0,C,2,,21,4
2,0,0,D,2,,10,42
2,1569,1,A,0,,21,31
2,2614,0,M,2,,10,27
2,1434,1,U,2,,10,27
3,0,0,A,0,,25,50
3,0,0,M,2,DV,21,47
3,2049,4,M,2,,10,50
2,1805,2,M,2,,10,26
3,0,0,M,2,,10,20
2,655,0,B,2,,10,60
3,0,0,M,2,,10,28
4,0,0,C,2,,10,25
4,0,0,C,2,,10,22
3,0,0,M,2,,10,50
2,0,0,A,0,,10,36
3,0,0,A,0,,25,54
2,1636,1,C,2,,10,24
3,0,0,U,2,,10,23
3,0,0,M,2,,10,53
4,1500,1,C,2,,10,35
2,0,1,C,2,,10,34
2,0,0,M,2,,10,32
2,0,0,C,2,,21,0
3,0,0,A,0,,25,33
2,1700,0,M,2,,10,28
2,2617,2,M,2,,10,48
2,1304,1,M,2,,10,27
3,1700,1,M,2,,10,24
2,0,0,C,2,,10,42
2,1420,0,U,2,,21,54
3,1490,2,B,2,,10,45
4,0,0,C,2,,10,33
2,2500,0,M,2,,10,24
2,1155,0,M,0,,10,31
4,2504,0,C,2,,10,50
2,0,1,M,2,,10,38
2,0,2,M,2,,10,46
2,0,0,C,2,,10,27
2,0,1,M,0,,21,49
2,2036,2,A,0,,21,58
3,0,0,A,0,,21,52
3,1338,3,M,2,,10,30
2,0,0,M,2,,10,45
4,0,0,C,2,,10,19
2,0,0,A,0,,21,40
2,1390,0,M,2,,10,52
4,1527,0,U,2,,10,24
3,0,2,C,2,,10,30
2,1296,1,U,2,,10,35
2,0,0,A,0,,23,35
4,0,0,C,0,,10,27
2,3700,2,G,2,,10,27
4,0,0,C,2,,10,31
3,0,0,D,2,,10,51
2,2024,0,C,2,,10,28
2,0,1,U,2,,10,28
2,1400,0,M,0,,21,53
4,1600,1,U,2,,10,25
2,2483,1,M,2,,10,33
3,0,0,A,0,,23,60
3,0,0,A,0,,25,60
3,0,2,A,0,,21,30
3,1475,2,M,2,,10,39
3,0,1,M,2,,10,28
4,0,0,C,2,,10,39
3,0,0,A,0,,21,49
2,0,0,M,2,,10,38
2,0,0,A,0,DV,21,28
3,0,0,D,2,,10,28
3,2237,0,M,2,,10,47
3,1098,2,M,2,,10,35
3,0,0,A,0,,25,60
2,0,0,C,2,,10,25
2,3900,3,M,0,,21,38
3,0,0,A,0,,25,67
3,0,0,A,2,,10,41
4,0,0,C,2,,10,30
4,0,0,C,2,,21,10
2,3500,3,M,0,,21,38
4,903,1,C,0,,21,26
3,1556,1,U,2,,10,25
3,0,0,M,2,,10,22
3,0,2,A,0,DA,21,46
3,0,0,M,2,,10,27
3,0,0,M,2,,10,56
3,0,0,A,0,,21,32
4,1550,0,C,2,,10,32
2,5200,2,B,2,,10,34
4,0,0,C,2,,21,2
3,0,0,D,2,,10,60
2,0,0,A,0,,25,62
2,1161,1,A,0,,21,35
2,0,0,M,2,,10,28
4,1563,0,C,2,,10,25
2,0,0,C,2,,21,2
2,0,2,A,0,,21,52
4,1561,0,C,0,DV,21,30
3,0,0,S,2,,10,49
3,0,0,A,0,,23,56
2,0,0,A,0,,23,36
3,0,0,A,0,,21,64
4,0,0,C,0,,25,32
3,1566,1,A,2,DA,10,40
4,0,0,C,2,,10,25
2,0,0,M,2,,10,28
2,0,0,M,2,,10,32
2,0,0,C,2,,10,33
3,0,0,M,2,,10,33
3,2256,3,B,2,,10,34
3,0,2,D,2,,10,34
3,0,0,A,0,,21,55
2,0,0,A,0,,21,42
3,2853,1,V,2,,10,50
3,1911,3,M,0,,21,41
3,0,0,A,0,,25,42
3,1800,0,E,2,,10,23
2,0,0,M,2,,10,28
2,0,3,M,2,,10,44
3,0,0,M,2,,10,60
3,0,0,A,0,,25,47
2,0,0,A,0,,21,64
4,1340,0,A,0,DA,21,26
2,0,0,A,0,,25,57
2,2260,0,U,2,,10,25
2,1538,0,U,2,,10,25
4,1655,0,C,2,,10,25
2,0,0,M,2,,10,37
3,1504,1,U,2,,10,26
2,0,0,M,2,,10,73
2,0,0,U,2,,10,38
2,0,0,C,2,,10,23
2,0,0,M,0,,10,30
2,0,0,A,2,,10,45
2,0,0,C,2,,21,15
3,1182,0,M,2,,10,53
2,0,0,A,0,,25,52
3,0,0,A,0,,21,52
2,0,2,A,0,,21,53
3,0,0,M,0,,10,39
2,1641,0,C,0,,25,28
2,1427,0,C,2,,10,27
3,0,0,A,0,,25,46
2,0,0,A,0,,10,42
2,0,0,A,0,,10,37
3,2704,0,M,2,,10,25
3,0,0,A,0,,21,32
4,0,0,C,2,,21,0
2,0,0,C,2,,10,33
2,2771,5,B,2,,10,46
2,0,0,C,2,,21,12
4,1500,0,C,2,,10,31
2,0,2,M,2,,10,40
2,0,0,A,0,,25,48
2,1557,0,A,0,,21,30
3,0,0,A,0,,21,51
3,0,0,A,0,,23,42
3,0,1,M,0,,10,30
4,2832,1,U,2,,10,24
2,1796,0,U,2,,10,27
2,0,0,D,2,,10,41
2,0,0,M,2,,10,83
3,4081,0,G,2,,10,47
2,0,0,C,2,,21,13
3,5398,4,G,2,,10,38
2,2719,1,E,2,,10,53
3,0,0,A,0,,21,50
2,0,0,A,0,,21,44
2,2083,1,M,2,,10,36
2,0,13,M,0,,10,52
2,0,0,A,0,,21,46
2,1272,1,G,2,,10,32
3,0,0,M,0,,10,34
2,0,0,M,2,,10,53
3,0,0,A,0,,21,51
2,0,0,C,2,,21,0
3,0,2,M,2,,10,47
2,0,0,C,2,,10,26
2,0,0,C,2,,10,31
3,8380,0,D,2,,10,50
2,0,1,C,2,,10,28
3,2210,2,D,2,,10,44
4,1034,1,C,2,,10,30
3,0,2,M,2,,10,42
3,0,0,A,0,,25,43
2,0,0,A,0,,23,40
3,1598,0,M,2,,10,51
2,2500,2,G,2,,10,50
2,2065,2,B,2,,10,28
2,0,2,M,2,,10,57
2,0,0,A,0,,25,55
3,0,0,M,2,,10,57
3,1200,2,M,2,,21,40
3,0,0,C,2,,10,25
2,1891,0,G,0,,21,66
3,0,1,A,0,,21,54
2,1700,0,G,2,,10,33
2,0,0,U,2,,10,41
2,2000,0,C,2,,10,28
2,0,0,C,2,,10,25
2,0,0,C,2,,10,46
2,2063,0,D,2,,10,29
3,3000,1,C,2,,10,44
4,0,0,C,2,,10,25
4,0,0,C,2,,10,38
4,0,0,C,2,,10,23
2,0,0,A,0,,25,52
2,3430,1,U,2,,10,22
2,0,0,M,2,,10,52
2,1800,0,M,2,,10,60
3,0,0,A,0,,21,64
3,0,0,M,0,,10,54
2,0,0,M,2,,10,36
2,0,0,M,2,,10,67
3,1455,1,M,0,,10,26
3,2037,0,C,2,,10,41
2,0,0,C,2,,21,4
2,1813,0,A,0,,21,44
2,0,0,M,2,,10,58
2,1508,0,C,2,,10,28
3,0,0,M,2,,10,53
3,0,0,A,0,,21,58
2,0,0,A,0,,21,58
2,0,0,C,2,,10,28
4,0,0,C,2,,10,45
2,1500,0,G,0,,21,48
2,0,0,A,2,,10,35
3,0,0,M,0,,10,36
4,0,0,C,2,,21,4
2,0,0,A,0,,21,49
2,0,0,M,0,,10,69
2,3146,1,M,2,,10,28
3,0,0,A,0,,25,63
3,0,0,A,0,,23,37
2,0,0,A,0,,23,36
2,1617,1,P,2,,10,30
2,2467,0,E,2,,10,32
2,0,1,M,2,,10,50
4,0,0,C,0,,21,18
3,3000,0,V,0,,10,67
2,0,0,A,0,,21,50
2,0,0,A,0,,25,53
2,0,0,A,0,,25,45
2,1622,1,G,2,,10,49
2,0,0,C,2,,10,26
3,0,0,M,2,,10,26
3,2960,0,E,2,,10,49
2,0,0,A,0,,10,52
2,7437,3,A,0,,21,44
2,2500,0,U,2,,10,30
2,2300,0,M,0,,10,24
3,0,0,A,0,,21,45
4,0,0,C,2,,10,26
4,0,0,C,2,,21,0
4,0,0,C,2,,10,26
2,0,0,M,2,,10,43
2,0,0,A,0,,25,44
2,1340,3,E,0,,21,38
4,1126,0,C,2,,10,28
3,0,0,A,0,,25,37
4,0,0,C,0,,10,36
3,0,4,M,0,,21,50
2,3183,0,A,0,,21,44
2,0,2,M,2,,10,36
4,0,0,C,2,,10,26
2,1666,0,C,2,,10,24
3,1500,2,B,0,,21,29
2,0,0,C,2,,21,14
3,4262,3,D,2,,10,39
2,0,0,A,0,,23,46
3,0,0,A,0,,25,35
3,0,0,A,0,,25,42
3,0,0,A,0,,25,59
2,0,0,C,2,,10,30
2,38413,0,M,2,,10,75
3,3012,3,M,2,,10,30
2,0,1,C,2,,10,38
3,0,0,A,2,,10,30
2,1500,1,P,2,,10,37
3,0,0,M,2,,10,38
4,0,0,C,2,,21,13
3,0,0,A,0,,21,40
2,2102,2,M,2,,10,34
2,0,0,M,2,,10,32
2,1799,2,M,2,,10,30
3,0,0,A,0,,21,43
4,0,0,C,0,,25,33
2,0,0,M,2,,10,32
2,0,0,A,0,,10,52
2,0,0,A,0,,23,37
2,0,0,A,0,,25,49
2,0,0,M,2,,10,40
2,3300,1,M,2,,10,32
2,1572,1,C,0,,10,33
2,0,0,C,2,,21,10
2,0,0,C,2,,10,36
2,4500,4,A,0,,21,42
3,0,1,M,2,,10,36
2,0,0,A,2,,10,52
3,0,3,M,0,,10,37
2,1974,1,M,2,,10,37
2,0,0,A,0,,21,56
4,0,0,C,0,,25,39
4,0,0,C,0,,21,27
2,0,2,A,0,,10,34
3,0,2,C,2,,10,43
2,2597,1,A,0,,21,39
3,0,0,A,0,,23,43
2,0,0,C,2,,10,33
2,1369,2,M,2,,10,34
2,3044,3,M,0,,10,47
3,0,0,A,0,,23,42
3,0,0,A,0,,21,49
2,1459,1,U,0,,10,27
2,0,2,M,2,,10,25
3,0,0,A,0,,21,49
2,0,0,A,2,,10,41
2,0,0,A,0,,21,52
2,1579,0,A,0,,21,29
2,0,0,A,0,,23,52
2,0,0,A,0,,21,16
2,0,0,C,2,,21,4
2,2555,3,G,2,,10,43
3,0,0,A,0,,23,33
2,0,0,A,0,,23,44
2,0,0,A,0,,25,48
3,0,0,A,0,,21,45
2,2900,1,B,2,,10,27
2,0,2,U,2,,10,35
3,0,0,A,2,,10,51
2,1699,0,U,2,,10,28
3,0,0,A,0,,25,55
3,0,3,M,2,,10,37
3,0,0,A,0,,25,48
4,0,0,C,0,,25,24
3,0,0,M,2,,10,30
2,1877,1,M,2,,10,32
3,2551,3,U,0,,10,47
2,0,0,C,2,,10,31
4,0,0,C,2,,21,13
2,0,1,M,2,,10,28
3,725,0,A,0,,23,67
2,0,0,A,0,,25,53
3,0,0,M,0,,10,47
2,2958,2,M,2,,10,44
2,0,0,A,0,,25,71
2,0,0,A,0,,25,68
2,1394,0,C,2,,10,25
4,0,1,C,2,,10,29
2,1700,1,C,2,,10,26
4,0,0,C,2,,10,30
2,0,0,M,2,DC,10,34
3,0,0,A,0,,21,57
2,0,0,U,0,,10,28
4,0,1,C,0,,21,35
2,1600,1,F,2,,10,28
2,0,0,U,2,,10,38
3,0,3,M,2,,10,38
3,1607,0,M,2,,10,34
2,2116,0,D,2,,10,44
3,3938,0,V,2,,10,49
3,1466,2,A,0,,21,43
2,0,0,A,0,,25,55
2,1936,1,P,2,,10,30
2,4248,3,G,0,,21,63
3,0,0,A,0,,25,34
4,2737,3,C,2,,10,41
2,0,0,A,0,,21,42
2,0,0,A,0,,21,59
3,0,0,A,0,,25,62
3,2601,0,M,0,,25,53
3,0,0,A,0,,21,53
2,0,0,M,2,,10,51
3,0,0,A,0,,21,51
4,0,0,C,0,,25,67
3,0,0,M,2,,10,25
3,2000,2,B,0,,21,32
4,0,0,C,2,,10,25
3,1885,0,A,0,,21,54
3,0,0,A,0,,25,46
2,0,0,C,2,,10,27
2,0,0,A,0,,21,39
2,2458,2,A,0,,21,56
2,0,0,A,0,,21,44
2,1474,2,M,2,,10,27
2,0,0,M,0,,10,45
3,0,3,C,2,,10,22
3,0,0,A,0,,23,34
2,0,0,C,2,,21,3
2,0,0,A,0,,21,30
3,1530,0,M,2,,10,25
2,0,0,A,0,,10,37
3,0,1,U,2,,10,39
3,1794,3,M,0,,21,41
2,0,0,A,0,,25,72
3,0,0,M,2,,10,39
3,1601,0,U,2,,10,43
4,2000,1,C,0,,10,37
3,0,0,A,0,,25,51
4,0,0,C,2,,21,2
2,0,0,A,0,,21,54
3,0,0,M,2,,10,29
2,2200,2,M,2,,10,37
4,1803,0,C,2,,10,34
3,0,0,A,0,,25,54
2,3821,1,M,0,,21,41
4,0,0,C,2,,10,27
2,0,0,A,0,,23,49
2,0,0,M,2,,10,27
3,2080,1,M,2,,10,31
3,0,0,A,0,,21,47
3,1161,4,M,0,,21,38
2,0,0,A,0,,21,52
4,0,0,C,0,,25,45
2,1681,2,B,2,,10,28
3,0,0,A,0,,10,53
3,0,0,A,0,,21,37
2,0,0,A,0,,21,53
2,1921,0,A,0,,21,44
2,0,0,C,2,,21,18
4,1540,0,C,2,,10,27
3,1901,0,M,0,,10,63
2,0,0,A,0,,23,44
2,0,0,S,2,,10,62
2,2044,0,C,2,,10,29
2,0,0,A,0,,25,55
3,0,0,A,0,,25,42
4,0,1,C,0,,10,34
3,1441,1,M,2,,10,26
3,0,0,M,2,,10,43
4,1817,0,C,2,,10,32
4,0,0,C,0,,23,33
2,0,0,A,0,,21,48
3,0,0,A,0,,25,49
2,0,0,S,2,,10,42
2,0,1,M,2,,10,28
4,1286,0,U,2,,10,28
3,0,0,A,2,,10,38
2,0,0,A,0,,25,56
2,0,0,A,0,,10,57
2,0,0,C,0,DC,21,26
3,0,0,A,0,,10,28
3,0,0,A,0,,10,33
4,0,0,C,0,,10,57
2,1800,3,M,2,,10,22
2,0,0,M,0,,10,52
2,0,0,A,0,,10,51
3,2216,0,M,0,,10,49
2,0,0,A,0,,21,31
3,0,0,A,0,,10,45
2,0,0,A,0,,10,29
3,0,0,A,0,,25,32
3,0,0,M,2,,10,34
3,0,0,A,0,,10,62
2,0,0,A,0,DV,10,34
2,0,0,A,0,DV,21,37
3,0,0,A,0,,10,41
3,0,0,M,2,,10,28
3,0,0,A,0,,10,42
2,0,0,A,0,,10,26
2,2195,1,U,2,,10,30
2,0,0,A,0,,10,38
3,0,0,A,0,,10,38
3,0,0,A,0,,10,52
2,0,0,M,2,,10,32
2,0,0,A,0,,10,33
3,0,0,A,0,,10,53
4,0,0,C,0,,10,38
2,0,0,A,0,,10,35
3,0,0,A,0,,10,29
3,3399,0,V,2,,10,41
2,0,0,A,0,,10,26
2,2244,1,U,2,,10,34
3,0,2,M,2,,10,25
3,0,0,A,0,,10,32
3,0,0,M,2,,10,25
2,0,0,A,0,DA,21,29
3,0,0,A,0,,10,38
2,0,0,A,0,,10,36
3,0,0,A,0,,10,29
2,2965,2,M,0,,10,22
4,0,0,C,0,,10,42
4,0,0,C,0,,10,60
3,0,0,M,2,,10,44
3,0,0,A,0,DC,10,47
2,0,1,M,2,,10,37
2,0,0,A,0,,10,48
2,0,0,A,0,,10,25
2,0,0,A,0,,10,30
3,0,0,A,0,,10,28
2,0,0,D,2,,10,33
3,0,0,A,0,,10,35
2,1700,0,U,2,,10,23
3,1986,0,M,0,,10,39
2,0,0,A,0,,10,55
2,0,0,A,0,,10,27
