CDSEXE,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,AGEAD
2,0,0,M,2,,10,31
3,0,0,C,2,,10,27
2,0,0,A,0,,10,28
3,0,0,A,0,DC,10,29
3,0,0,A,0,,10,41
4,0,0,C,0,,10,36
3,0,0,A,0,,10,44
2,0,0,A,0,,10,38
2,0,0,A,0,,10,37
2,0,0,M,2,,10,46
2,0,0,M,2,,10,43
2,0,0,A,0,,10,29
2,0,0,A,0,,10,29
3,0,0,M,2,,10,35
2,0,0,A,0,,10,39
2,0,0,A,0,,10,28
3,1793,0,M,2,DV,21,41
3,3168,0,D,2,,10,33
3,0,0,A,0,,10,40
3,0,0,A,0,,10,37
3,0,0,A,0,,10,34
4,0,0,C,0,,10,41
3,0,0,A,0,,10,38
2,0,0,A,0,,10,28
2,0,0,A,0,DC,21,37
2,0,0,A,0,,10,33
3,0,0,A,0,,10,35
2,3104,0,M,2,,10,32
3,0,0,A,0,,10,28
3,0,0,A,0,,10,50
2,0,0,A,0,,10,35
3,0,0,M,2,,10,48
3,2402,0,D,2,,10,31
2,0,0,A,0,,10,43
2,0,0,D,2,,10,28
3,0,0,M,0,DV,21,34
3,0,0,A,0,,10,33
2,2035,2,G,0,,10,28
2,0,0,B,0,,10,27
2,0,0,A,0,,10,61
3,8193,0,S,2,,10,34
2,1908,0,B,2,,10,37
4,0,0,C,0,DV,21,28
2,0,0,A,0,DV,21,50
3,0,0,A,0,,10,60
3,0,0,A,0,,10,25
2,0,0,A,0,,10,24
2,0,0,A,0,,10,20
4,0,0,C,0,,10,25
4,0,0,C,2,DC,10,33
2,0,0,A,0,,10,26
2,0,0,C,2,,10,29
3,0,0,A,0,,10,51
3,1000,0,A,0,,10,32
2,0,0,D,2,,10,30
4,0,0,C,0,,10,24
3,0,0,M,2,,10,54
2,3385,2,M,2,,10,27
2,0,0,A,0,DV,10,36
4,0,0,C,0,DC,10,44
3,0,0,A,0,DV,21,34
3,3000,0,M,0,,10,27
2,2300,0,B,2,,10,34
2,0,0,A,0,,10,44
3,0,0,M,0,,10,36
4,0,0,C,0,,21,1
4,0,0,C,2,,21,32
2,0,0,A,0,,10,51
3,0,0,M,2,,10,42
2,0,0,M,2,,10,32
2,3601,0,C,2,,10,33
3,2482,0,E,2,,10,25
2,0,0,M,0,,10,43
2,0,0,A,0,,10,35
3,0,0,A,0,,10,26
2,2224,2,U,2,,10,24
3,0,0,M,0,,10,55
2,1884,0,S,2,,10,35
2,0,0,A,0,,10,31
2,0,0,C,2,,10,27
3,0,0,M,2,,10,30
2,0,0,A,0,,10,39
2,0,0,V,2,,10,33
3,0,0,M,2,,10,34
3,1841,2,M,2,,10,30
3,0,0,A,0,,10,41
2,0,0,M,2,,10,30
2,0,0,M,2,,10,36
3,2454,2,G,0,,10,30
2,0,0,A,0,,21,34
3,0,0,A,0,DV,21,44
3,0,0,A,0,,10,48
2,0,0,A,0,,10,34
4,0,0,C,2,,10,43
2,3337,0,M,2,,10,29
2,2500,0,G,2,,10,38
2,0,0,M,0,,10,36
3,1948,0,D,2,,10,22
2,0,0,M,2,,10,50
3,2423,0,V,0,,10,37
3,0,0,A,0,,10,25
3,0,0,A,0,DV,21,48
3,1504,0,M,2,,10,21
3,0,0,A,0,DC,21,50
2,0,0,M,2,,10,32
2,2789,0,D,2,,10,30
2,0,0,A,0,,10,38
3,0,0,V,2,,10,38
3,0,0,A,0,,10,35
2,0,2,M,2,,10,26
3,0,0,A,0,,10,24
2,0,0,A,0,,10,31
3,0,0,M,2,,10,36
2,0,0,M,2,,10,50
2,0,0,A,0,,10,36
3,2439,1,M,2,,10,27
3,0,0,A,0,DC,10,36
2,2195,2,M,2,,10,25
4,0,0,C,2,,10,45
3,0,0,A,0,DV,21,29
2,0,0,D,2,,10,34
2,0,0,A,0,,10,39
2,0,0,M,2,,10,27
3,0,0,M,2,,10,39
3,1650,0,U,2,,10,32
3,0,0,M,2,,10,42
2,0,0,A,0,DC,21,68
3,0,0,A,0,,10,30
3,0,0,M,2,,10,39
2,0,0,A,0,,10,28
3,0,0,A,2,,10,33
2,3000,4,S,2,,10,31
3,0,1,M,2,,10,30
3,0,0,M,2,,10,8
3,2694,0,M,2,,10,35
3,0,0,A,0,,10,33
3,0,0,A,0,,10,59
2,3100,1,M,2,,10,30
2,0,0,A,0,,10,27
3,2987,2,D,2,,10,27
3,2210,0,U,2,,10,37
2,3000,0,M,2,,10,39
3,987,1,M,2,,10,36
2,2879,3,M,2,,10,22
2,0,0,A,0,,10,23
2,0,0,C,2,,10,28
3,3165,3,D,2,,10,25
2,0,0,M,0,DV,21,26
3,1768,2,M,2,,10,27
2,0,0,A,0,,10,33
2,0,0,M,2,,10,45
2,0,0,A,0,DC,21,45
2,0,0,M,2,,10,42
3,2367,3,D,2,,10,31
2,0,0,A,0,DV,10,29
3,0,0,V,2,,10,28
3,0,0,M,2,,10,22
2,0,0,A,0,DC,10,51
3,0,0,A,0,,10,63
3,0,0,A,0,,10,38
3,0,0,A,0,,10,22
3,0,0,A,0,,10,34
3,2201,0,M,0,,10,41
2,0,0,A,2,DC,10,65
2,0,0,C,0,,10,29
2,0,1,D,2,,10,40
2,0,0,A,0,,21,28
3,3788,1,M,2,,10,30
3,0,0,M,2,,10,35
3,0,2,D,2,,10,27
3,0,0,M,2,,10,31
2,0,0,M,2,,10,26
2,2636,1,M,2,,10,24
3,0,0,M,2,,10,50
2,0,1,M,2,,10,30
2,0,0,M,2,,10,35
3,1920,1,C,2,,10,29
3,1735,0,V,2,,10,51
2,0,0,M,0,,10,24
3,0,0,D,2,,10,45
3,2036,3,B,0,,10,22
3,0,0,M,2,,10,24
3,2250,0,E,2,,10,27
3,0,0,D,2,,10,49
2,2306,0,M,2,,10,34
2,0,0,M,2,,10,37
2,0,0,A,0,,10,34
2,0,0,S,2,,10,23
2,2576,0,C,0,,10,26
3,0,0,M,2,,10,40
3,0,0,A,0,,10,71
2,2064,1,U,0,DV,21,25
2,0,0,A,0,,10,42
4,0,0,C,0,,10,21
2,2300,0,G,2,,10,36
4,1900,3,U,2,,10,22
4,0,0,C,0,DC,10,34
3,1843,0,E,2,,10,39
3,0,0,A,0,,10,31
2,0,0,A,0,,10,28
2,2466,2,M,2,,10,27
3,0,0,A,0,,10,30
3,0,0,M,2,,10,35
2,0,0,A,0,,10,27
3,0,0,A,0,,10,32
3,0,0,A,0,,10,24
2,0,0,A,2,,10,33
2,0,0,A,0,DV,21,36
3,0,2,M,2,,10,27
4,2121,0,C,2,,10,37
2,0,0,A,0,,10,53
2,0,0,A,0,DC,10,53
3,0,0,M,2,,10,29
2,0,0,M,2,,10,33
3,0,0,D,2,,10,29
2,0,0,M,2,,10,41
2,0,0,M,2,,10,32
2,2092,0,U,2,,10,30
3,0,0,M,2,,10,24
3,2000,0,G,2,,10,29
3,0,0,M,2,,10,25
3,1575,2,M,2,,10,35
4,0,0,C,2,,10,33
3,0,0,A,0,,10,32
3,0,0,M,2,,10,39
3,1245,2,M,2,,10,18
2,2551,0,G,2,,10,45
3,2206,0,A,0,,10,34
3,0,0,D,2,,10,32
3,0,0,M,2,,10,56
2,0,0,A,2,,10,29
2,0,0,A,0,,10,48
2,1310,0,U,2,,10,41
4,0,0,C,2,,10,39
3,0,0,M,2,,10,54
3,2381,1,M,2,,10,27
4,0,0,C,2,,10,33
2,0,0,M,2,,10,51
3,0,0,M,2,,10,24
2,2893,0,D,2,,10,44
3,0,0,A,0,DV,21,43
3,0,0,A,0,,10,57
2,0,0,A,0,,21,17
2,0,0,M,2,,10,42
4,0,0,C,2,,10,26
2,1581,0,M,2,,10,37
3,2644,2,B,6,,10,26
3,0,0,A,0,,10,24
2,0,0,M,2,,10,28
3,0,0,B,2,,10,44
2,0,0,M,2,,10,50
2,0,0,A,0,,10,28
2,0,0,A,0,,10,29
2,0,0,A,0,DV,21,45
2,1342,3,M,2,,10,33
3,0,0,D,2,,10,45
3,2288,0,D,0,,10,44
2,0,0,M,2,,10,38
3,0,0,A,0,,10,49
3,2078,1,F,2,,10,34
2,1908,0,M,2,,10,34
2,0,0,D,2,,10,47
3,1304,0,D,2,,10,33
2,0,0,M,2,,10,37
3,1300,0,M,2,,10,22
3,1950,2,G,2,,10,22
2,0,0,A,2,,10,57
3,0,0,A,0,,10,29
3,0,0,A,0,,10,32
2,0,0,A,0,,10,30
2,0,0,A,0,,10,37
2,0,0,A,0,,10,35
2,0,0,A,0,,10,35
3,0,0,M,2,,10,31
2,0,0,M,0,,10,21
2,0,0,A,0,,10,41
2,1980,1,D,2,,10,25
3,0,0,A,0,DV,21,41
2,0,0,A,0,,10,34
2,0,0,M,2,,10,43
3,0,0,A,0,,10,28
3,2319,0,D,2,,10,36
2,0,0,U,0,DV,21,25
3,0,0,A,0,,10,58
3,0,0,A,0,,10,42
2,0,0,M,2,,10,37
3,2646,0,M,2,,10,43
2,2800,0,M,2,,10,35
2,1163,0,D,2,,10,25
3,3160,2,D,2,,10,25
2,0,0,A,0,DC,10,45
3,0,0,C,2,,10,44
3,0,0,M,2,,10,26
2,0,0,M,2,,10,50
3,3378,2,M,2,,10,25
2,0,0,A,0,DC,10,47
2,1250,0,M,2,,10,23
2,2136,1,M,2,,10,44
3,1000,1,M,2,,10,26
2,0,0,M,2,,10,28
2,0,0,M,2,,10,39
3,0,1,M,0,,10,27
2,2200,1,G,2,,10,38
3,0,0,B,2,,10,30
3,0,0,C,2,,10,33
2,0,0,A,0,,10,26
3,0,0,M,2,,10,49
2,0,0,M,2,,10,29
3,2135,2,M,6,,10,27
3,0,0,M,2,,10,36
3,0,0,M,2,,10,59
4,2187,1,U,2,,10,27
3,1524,3,A,0,,10,29
2,0,2,M,2,,10,35
2,1784,1,M,2,,10,26
3,0,0,M,2,,10,29
3,2512,0,M,2,,10,27
2,2000,2,M,2,,10,44
3,0,0,A,0,,10,62
3,0,0,D,2,,10,50
3,2210,0,M,2,,10,38
3,0,0,A,2,DC,10,66
2,0,0,V,2,,10,31
4,0,0,C,0,DV,21,26
3,0,0,A,0,,10,44
3,0,0,M,2,,10,34
2,0,0,A,0,,10,31
3,0,0,M,2,,10,39
2,0,0,A,0,DV,10,33
2,0,0,A,0,,10,54
2,5300,2,M,2,,10,29
3,2106,0,M,2,,10,23
3,1160,2,M,2,,10,20
3,0,0,M,2,,10,42
4,2804,0,C,2,,10,35
2,0,0,D,2,,10,41
2,2924,2,M,2,,10,37
3,0,1,M,2,,10,27
3,0,0,D,2,,10,29
2,0,0,C,2,,10,42
2,0,0,A,0,DC,21,31
3,0,0,D,2,,10,39
2,4954,1,M,2,,10,27
2,0,0,A,0,DV,21,33
3,1304,0,M,2,,10,38
2,0,0,M,2,,10,48
2,1182,1,M,2,,10,37
3,2059,1,D,2,,10,22
3,0,0,M,2,,10,41
2,1948,3,M,2,,10,35
3,1500,0,U,2,,10,54
3,0,0,M,2,,10,46
2,2000,0,G,2,,10,42
3,0,1,M,2,,10,32
3,2386,0,G,2,,10,31
3,2000,1,G,2,,10,33
3,2046,0,M,2,,10,38
2,0,0,M,2,,10,35
